,Value,Layer,Method
382,7.215909004211426,conv4,HRank
383,7.7272725105285645,conv4,HRank
384,5.6022725105285645,conv5,HRank
385,4.659090995788574,conv5,HRank
386,6.267045497894287,conv5,HRank
387,4.0,conv5,HRank
388,4.596590995788574,conv5,HRank
389,5.982954502105713,conv5,HRank
390,5.090909004211426,conv5,HRank
391,4.948863506317139,conv5,HRank
392,5.4147725105285645,conv5,HRank
393,5.136363506317139,conv5,HRank
394,4.778409004211426,conv5,HRank
395,4.8977274894714355,conv5,HRank
396,5.125,conv5,HRank
397,5.636363506317139,conv5,HRank
398,4.301136493682861,conv5,HRank
399,5.369318008422852,conv5,HRank
400,5.806818008422852,conv5,HRank
401,6.045454502105713,conv5,HRank
402,5.721590995788574,conv5,HRank
403,5.653409004211426,conv5,HRank
404,6.0852274894714355,conv5,HRank
405,5.176136493682861,conv5,HRank
406,5.028409004211426,conv5,HRank
407,5.551136493682861,conv5,HRank
408,4.244318008422852,conv5,HRank
409,5.8522725105285645,conv5,HRank
410,3.534090995788574,conv5,HRank
411,4.607954502105713,conv5,HRank
412,3.528409004211426,conv5,HRank
413,6.4147725105285645,conv5,HRank
414,5.25,conv5,HRank
415,5.0625,conv5,HRank
416,5.465909004211426,conv5,HRank
417,5.284090995788574,conv5,HRank
418,5.9375,conv5,HRank
419,6.403409004211426,conv5,HRank
420,4.380681991577148,conv5,HRank
421,6.573863506317139,conv5,HRank
422,3.8238637447357178,conv5,HRank
423,4.755681991577148,conv5,HRank
424,4.2727274894714355,conv5,HRank
425,3.920454502105713,conv5,HRank
426,5.5227274894714355,conv5,HRank
427,4.943181991577148,conv5,HRank
428,5.284090995788574,conv5,HRank
429,5.153409004211426,conv5,HRank
430,5.443181991577148,conv5,HRank
431,4.9375,conv5,HRank
432,5.465909004211426,conv5,HRank
433,6.346590995788574,conv5,HRank
434,5.392045497894287,conv5,HRank
435,4.9772725105285645,conv5,HRank
436,5.875,conv5,HRank
437,5.857954502105713,conv5,HRank
438,6.556818008422852,conv5,HRank
439,5.698863506317139,conv5,HRank
440,6.511363506317139,conv5,HRank
441,5.1477274894714355,conv5,HRank
442,5.545454502105713,conv5,HRank
443,4.4147725105285645,conv5,HRank
444,2.9602272510528564,conv5,HRank
445,5.0227274894714355,conv5,HRank
446,5.0852274894714355,conv5,HRank
447,4.829545497894287,conv5,HRank
448,5.448863506317139,conv5,HRank
449,5.0625,conv5,HRank
450,4.215909004211426,conv5,HRank
451,4.784090995788574,conv5,HRank
452,4.357954502105713,conv5,HRank
453,3.0852272510528564,conv5,HRank
454,5.1022725105285645,conv5,HRank
455,4.534090995788574,conv5,HRank
456,5.5625,conv5,HRank
457,5.971590995788574,conv5,HRank
458,4.982954502105713,conv5,HRank
459,4.613636493682861,conv5,HRank
460,5.301136493682861,conv5,HRank
461,5.017045497894287,conv5,HRank
462,5.721590995788574,conv5,HRank
463,5.107954502105713,conv5,HRank
464,6.159090995788574,conv5,HRank
465,4.045454502105713,conv5,HRank
466,4.7102274894714355,conv5,HRank
467,5.329545497894287,conv5,HRank
468,6.568181991577148,conv5,HRank
469,3.420454502105713,conv5,HRank
470,6.948863506317139,conv5,HRank
471,5.323863506317139,conv5,HRank
472,5.454545497894287,conv5,HRank
473,5.5625,conv5,HRank
474,5.880681991577148,conv5,HRank
475,4.721590995788574,conv5,HRank
476,4.3352274894714355,conv5,HRank
477,3.75,conv5,HRank
478,4.7897725105285645,conv5,HRank
479,5.801136493682861,conv5,HRank
480,4.943181991577148,conv5,HRank
481,4.2897725105285645,conv5,HRank
482,5.4147725105285645,conv5,HRank
483,4.454545497894287,conv5,HRank
484,5.596590995788574,conv5,HRank
485,4.051136493682861,conv5,HRank
486,6.255681991577148,conv5,HRank
487,6.551136493682861,conv5,HRank
488,5.329545497894287,conv5,HRank
489,3.7386362552642822,conv5,HRank
490,5.4147725105285645,conv5,HRank
491,3.153409004211426,conv5,HRank
492,4.284090995788574,conv5,HRank
493,6.431818008422852,conv5,HRank
494,4.9375,conv5,HRank
495,5.443181991577148,conv5,HRank
496,5.681818008422852,conv5,HRank
497,5.3522725105285645,conv5,HRank
498,5.636363506317139,conv5,HRank
499,6.1875,conv5,HRank
500,4.431818008422852,conv5,HRank
501,4.761363506317139,conv5,HRank
502,4.892045497894287,conv5,HRank
503,4.5,conv5,HRank
504,4.6875,conv5,HRank
505,3.375,conv5,HRank
506,5.4772725105285645,conv5,HRank
507,3.6647727489471436,conv5,HRank
508,4.613636493682861,conv5,HRank
509,4.4772725105285645,conv5,HRank
510,5.198863506317139,conv5,HRank
511,6.511363506317139,conv5,HRank
512,6.568181991577148,conv5,HRank
513,5.715909004211426,conv5,HRank
514,4.471590995788574,conv5,HRank
515,3.028409004211426,conv5,HRank
516,5.3977274894714355,conv5,HRank
517,3.715909004211426,conv5,HRank
518,5.017045497894287,conv5,HRank
519,4.454545497894287,conv5,HRank
520,5.971590995788574,conv5,HRank
521,6.3125,conv5,HRank
522,5.369318008422852,conv5,HRank
523,5.517045497894287,conv5,HRank
524,6.295454502105713,conv5,HRank
525,4.590909004211426,conv5,HRank
526,4.625,conv5,HRank
527,5.119318008422852,conv5,HRank
528,5.136363506317139,conv5,HRank
529,5.670454502105713,conv5,HRank
530,5.1477274894714355,conv5,HRank
531,4.295454502105713,conv5,HRank
532,5.596590995788574,conv5,HRank
533,4.142045497894287,conv5,HRank
534,4.3125,conv5,HRank
535,5.721590995788574,conv5,HRank
536,4.732954502105713,conv5,HRank
537,5.954545497894287,conv5,HRank
538,4.625,conv5,HRank
539,3.5852272510528564,conv5,HRank
540,5.625,conv5,HRank
541,6.096590995788574,conv5,HRank
542,5.573863506317139,conv5,HRank
543,3.357954502105713,conv5,HRank
544,5.659090995788574,conv5,HRank
545,4.715909004211426,conv5,HRank
546,3.6931817531585693,conv5,HRank
547,5.3977274894714355,conv5,HRank
548,5.056818008422852,conv5,HRank
549,5.159090995788574,conv5,HRank
550,6.107954502105713,conv5,HRank
551,6.0625,conv5,HRank
552,3.5,conv5,HRank
553,5.244318008422852,conv5,HRank
554,5.198863506317139,conv5,HRank
555,5.892045497894287,conv5,HRank
556,4.704545497894287,conv5,HRank
557,5.875,conv5,HRank
558,4.363636493682861,conv5,HRank
559,5.3977274894714355,conv5,HRank
560,5.778409004211426,conv5,HRank
561,4.801136493682861,conv5,HRank
562,5.0227274894714355,conv5,HRank
563,4.931818008422852,conv5,HRank
564,4.778409004211426,conv5,HRank
565,4.392045497894287,conv5,HRank
566,5.159090995788574,conv5,HRank
567,5.6477274894714355,conv5,HRank
568,3.8181817531585693,conv5,HRank
569,4.579545497894287,conv5,HRank
570,5.301136493682861,conv5,HRank
571,4.806818008422852,conv5,HRank
572,6.613636493682861,conv5,HRank
573,6.323863506317139,conv5,HRank
574,4.619318008422852,conv5,HRank
575,6.721590995788574,conv5,HRank
576,3.8636362552642822,conv5,HRank
577,5.619318008422852,conv5,HRank
578,4.875,conv5,HRank
579,4.670454502105713,conv5,HRank
580,4.494318008422852,conv5,HRank
581,4.073863506317139,conv5,HRank
582,4.869318008422852,conv5,HRank
583,4.6022725105285645,conv5,HRank
584,5.340909004211426,conv5,HRank
585,4.9602274894714355,conv5,HRank
586,4.840909004211426,conv5,HRank
587,4.556818008422852,conv5,HRank
588,5.028409004211426,conv5,HRank
589,5.215909004211426,conv5,HRank
590,4.7272725105285645,conv5,HRank
591,4.0397725105285645,conv5,HRank
592,5.221590995788574,conv5,HRank
593,6.505681991577148,conv5,HRank
594,4.3522725105285645,conv5,HRank
595,5.130681991577148,conv5,HRank
596,4.107954502105713,conv5,HRank
597,5.073863506317139,conv5,HRank
598,4.693181991577148,conv5,HRank
599,6.443181991577148,conv5,HRank
600,5.971590995788574,conv5,HRank
601,5.056818008422852,conv5,HRank
602,6.1477274894714355,conv5,HRank
603,4.5,conv5,HRank
604,5.261363506317139,conv5,HRank
605,5.551136493682861,conv5,HRank
606,5.409090995788574,conv5,HRank
607,4.943181991577148,conv5,HRank
608,6.136363506317139,conv5,HRank
609,5.0625,conv5,HRank
610,6.755681991577148,conv5,HRank
611,4.573863506317139,conv5,HRank
612,5.5852274894714355,conv5,HRank
613,5.488636493682861,conv5,HRank
614,6.011363506317139,conv5,HRank
615,5.755681991577148,conv5,HRank
616,4.698863506317139,conv5,HRank
617,4.909090995788574,conv5,HRank
618,5.795454502105713,conv5,HRank
619,5.267045497894287,conv5,HRank
620,3.392045497894287,conv5,HRank
621,5.676136493682861,conv5,HRank
622,4.465909004211426,conv5,HRank
623,4.357954502105713,conv5,HRank
624,5.568181991577148,conv5,HRank
625,5.579545497894287,conv5,HRank
626,6.073863506317139,conv5,HRank
627,5.420454502105713,conv5,HRank
628,3.9375,conv5,HRank
629,5.238636493682861,conv5,HRank
630,4.931818008422852,conv5,HRank
631,5.670454502105713,conv5,HRank
632,5.943181991577148,conv5,HRank
633,6.278409004211426,conv5,HRank
634,2.9261362552642822,conv5,HRank
635,6.426136493682861,conv5,HRank
636,4.6477274894714355,conv5,HRank
637,6.142045497894287,conv5,HRank
638,5.375,conv5,HRank
639,6.090909004211426,conv5,HRank
640,4.329545497894287,conv6,HRank
641,4.988636493682861,conv6,HRank
642,3.8863637447357178,conv6,HRank
643,3.3011362552642822,conv6,HRank
644,4.340909004211426,conv6,HRank
645,4.267045497894287,conv6,HRank
646,5.732954502105713,conv6,HRank
647,3.642045497894287,conv6,HRank
648,4.517045497894287,conv6,HRank
649,5.318181991577148,conv6,HRank
650,3.403409004211426,conv6,HRank
651,4.511363506317139,conv6,HRank
652,4.761363506317139,conv6,HRank
653,4.613636493682861,conv6,HRank
654,5.079545497894287,conv6,HRank
655,3.482954502105713,conv6,HRank
656,3.5397727489471436,conv6,HRank
657,5.778409004211426,conv6,HRank
658,5.090909004211426,conv6,HRank
659,3.607954502105713,conv6,HRank
660,4.795454502105713,conv6,HRank
661,4.801136493682861,conv6,HRank
662,4.511363506317139,conv6,HRank
663,5.556818008422852,conv6,HRank
664,3.8863637447357178,conv6,HRank
665,4.738636493682861,conv6,HRank
666,4.386363506317139,conv6,HRank
667,5.153409004211426,conv6,HRank
668,5.204545497894287,conv6,HRank
